,1920,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Drama,3.0,,2.0,1.0,4.0,,,,3.0,2.0,2.0,4.0,2.0,7.0,6.0,12.0,12.0,10.0,7.0,9.0,13.0,7.0,7.0,6.0,4.0,11.0,11.0,7.0,8.0,8.0,9.0,9.0,12.0,8.0,6.0,12.0,7.0,13.0,7.0,13.0,5.0,11.0,11.0,8.0,10.0,6.0,11.0,9.0,9.0,14.0,14.0,19.0,12.0,15.0,21.0,11.0,10.0,11.0,15.0,20.0,18.0,19.0,16.0,25.0,21.0,26.0,16.0,26.0,32.0,33.0,36.0,36.0,59.0,61.0,53.0,54.0,55.0,53.0,62.0,72.0,75.0,90.0,74.0,87.0,87.0,117.0,117.0,126.0,122.0,163.0,182.0,206.0,232.0,286.0,400.0,558.0,647.0,735.0,756.0,771.0,808.0
Comedy,1.0,,,,1.0,,1.0,,,1.0,,,2.0,,,11.0,9.0,8.0,7.0,8.0,14.0,6.0,6.0,,4.0,5.0,10.0,6.0,,8.0,5.0,4.0,5.0,6.0,5.0,4.0,,,6.0,4.0,5.0,4.0,15.0,3.0,3.0,,7.0,6.0,11.0,13.0,10.0,10.0,6.0,12.0,10.0,9.0,9.0,10.0,8.0,9.0,13.0,9.0,9.0,9.0,20.0,17.0,16.0,23.0,28.0,31.0,23.0,32.0,39.0,32.0,35.0,42.0,48.0,48.0,49.0,58.0,59.0,43.0,75.0,77.0,89.0,94.0,89.0,116.0,126.0,166.0,180.0,195.0,206.0,254.0,307.0,405.0,443.0,495.0,550.0,554.0,465.0
Kids,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,119.0,141.0,,283.0,246.0,
Action,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,,2.0,3.0,4.0,6.0,6.0,5.0,5.0,,4.0,5.0,6.0,2.0,3.0,3.0,,,5.0,4.0,,,6.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0,,2.0,3.0,5.0,5.0,2.0,5.0,4.0,6.0,8.0,3.0,4.0,5.0,8.0,7.0,4.0,4.0,7.0,9.0,6.0,8.0,6.0,7.0,9.0,12.0,12.0,11.0,16.0,16.0,11.0,18.0,17.0,15.0,10.0,20.0,13.0,18.0,19.0,18.0,18.0,32.0,32.0,,37.0,35.0,39.0,40.0,44.0,40.0,,,69.0,63.0,95.0,,,,,,,
Action & Adventure,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,5.0,,6.0,5.0,5.0,4.0,7.0,9.0,5.0,7.0,5.0,7.0,9.0,,7.0,,8.0,10.0,,9.0,11.0,17.0,15.0,12.0,18.0,,18.0,17.0,,,28.0,,,,,41.0,,,,,,,,,,,,,
Suspense,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,6.0,,4.0,5.0,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,6.0,11.0,,,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,285.0
Adult Animation,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure,,0.0,0.0,0.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
Horror,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,8.0,,3.0,,,,,,,3.0,,,,,,5.0,,,6.0,,,,,,,,,8.0,8.0,13.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,
Sci-Fi,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romance,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,22.0,27.0,28.0,28.0,33.0,,,,58.0,,,,,112.0,,,,,,
Western,,,,,,1.0,,,,,1.0,2.0,,4.0,4.0,,,,,4.0,,,5.0,5.0,,6.0,6.0,,6.0,11.0,8.0,6.0,8.0,,,4.0,,3.0,,,,,4.0,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animation,,,,,,,,1.0,,,,3.0,3.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,,,,,5.0,5.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family,,,,,,,,1.0,,,,3.0,3.0,4.0,4.0,6.0,6.0,4.0,5.0,7.0,7.0,6.0,,,,,,5.0,4.0,7.0,5.0,8.0,5.0,5.0,9.0,3.0,4.0,,5.0,3.0,6.0,3.0,,,,,3.0,,4.0,,5.0,5.0,,,,,,4.0,,,,,,,,8.0,,,11.0,,5.0,,16.0,13.0,,,,,,19.0,,,,,,,,,,,58.0,,,,,,,,,,
Arts,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entertainment,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasy,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,3.0,,,,,,3.0,4.0,,5.0,4.0,,4.0,4.0,,,,5.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentary,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,45.0,49.0,58.0,84.0,122.0,142.0,172.0,299.0,372.0,375.0,431.0,421.0,304.0
Special Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
