,genre,avgDuration,medDuration,sd,min,max
0,Documentary,81.01006036217304,84.0,37.356710295784595,2,541
1,Family,73.8336,86.0,35.981017466635755,1,182
2,Drama,106.20450160771705,103.0,26.77197571536268,0,312
3,Independent,101.0515873015873,98.0,18.631063859143797,13,189
4,International,112.21740547588006,108.0,26.997312903201028,5,312
5,Comedy,92.50416119141481,94.0,29.22871782067808,0,253
6,Thriller,104.53934010152284,101.0,18.661288419071912,10,171
7,Romance,109.58940397350993,105.0,25.002104291663265,6,233
8,Musical,104.10602409638554,101.0,33.501363983327295,8,224
9,Horror,91.81069958847736,91.0,19.495098253856938,4,192
10,Sci-Fi & Fantasy,106.01646090534979,102.0,26.972892280983967,3,312
11,Action & Adventure,108.17391304347827,104.0,28.259682591759084,1,214
12,Classic,117.55384615384615,115.5,36.22369380453027,18,229
13,Anime,88.43103448275862,94.5,27.048820319187122,5,156
14,Sports,92.16353887399464,94.0,27.641085990867527,4,178
15,Cult Movies,104.52112676056338,99.0,22.77521155926804,47,172
16,Religious,96.87704918032787,99.0,31.088404436288712,7,205
17,LGBTQ,93.54285714285714,93.0,20.715362162129743,17,159
18,Animation,48.73233082706767,47.0,36.35406448181853,1,183
19,Music,92.0170542635659,94.0,37.82254274578016,2,224
20,Fantasy,98.90044247787611,99.0,32.56773667431608,3,312
21,Lifestyle,74.56570155902004,68.0,25.401785291413894,0,165
22,Sci-Fi,99.21166032953106,96.0,25.350078162580576,1,312
23,Superhero,112.0,126.5,41.820250278224464,23,150
24,Coming of Age,91.10526315789474,92.0,21.058077199709974,1,170
25,Concert Film,73.71428571428571,83.0,28.417801262086208,30,116
26,Crime,109.41772151898734,106.0,21.892867117840066,6,162
27,Kids,58.639281129653405,50.0,32.824916041130095,2,182
28,Historical,94.37974683544304,95.0,38.44153195987727,25,175
29,Variety,44.625,47.5,21.573379760383265,22,85
30,Spy/Espionage,116.0,116.0,26.870057685088806,97,135
31,Parody,23.428571428571427,9.0,28.39517061554155,4,85
32,Romantic Comedy,82.5,92.5,30.48967038195067,5,112
33,Dance,56.0,77.5,40.38316480911322,2,86
34,Western,81.76419213973799,82.0,20.795713371500078,40,148
35,Survival,82.66666666666667,94.0,19.629909152447276,60,94
36,Medical,34.5,34.5,14.849242404917497,24,45
37,Arts,78.56152512998267,75.0,25.600227384036746,0,165
38,Reality,48.0,43.0,10.708252269472673,42,64
39,Mystery,107.25581395348837,104.0,24.37513665236988,46,192
40,Disaster,101.5,101.5,24.748737341529164,84,119
41,Action,104.01499148211244,100.0,27.73809576198934,0,214
42,Suspense,96.48950036205648,93.0,21.024986821330888,9,177
43,Special Interest,84.78217821782178,63.0,89.71087060754489,1,601
44,Adventure,106.23953911461491,102.0,26.834651717456005,0,214
45,Entertainment,74.74774774774775,68.0,25.201837500985263,0,165
46,Music Videos and Concerts,57.79194630872483,47.0,33.92923382089217,2,185
47,Fitness,20.958333333333332,20.0,12.159083430059805,6,101
48,Military and War,92.22222222222223,96.5,27.568212658900272,32,148
49,Unscripted,80.0,80.0,,80,80
50,Black Stories,102.39655172413794,98.5,16.15705772152145,79,157
51,Teen,89.0,87.0,3.4641016151377544,87,93
52,News,97.0,98.5,11.284207253207171,83,108
53,Cooking & Food,110.0,110.0,,110,110
54,Latino,103.5,103.5,12.020815280171307,95,112
55,Adult Animation,113.2,122.0,15.106290080625355,93,125
56,Cartoons,87.0,87.0,39.61691557908061,23,120
57,Stand Up,71.33333333333333,76.0,11.718930554164631,58,80
